DOCUMENTO;ORGANIZACION;FECHA;TIPOFACTURA;DESCRIPCION;PRODUCTO;PRODUCTODESCRIPCION;CENTRODECOSTO;CANTIDAD;PRECIO;IMPORTEMONPRINCIPAL;IMPORTEMONTRANSACCION;MONEDA;VENDEDOR;DESCUENTO
A-0001-00000233;Hernandez S.A.;08-01-2020;Factura;;Mercaderia de Reventa;;Ventas A2;45.0000;10500.0000;472500.0000;472500.0000;Pesos Argentinos;;0E-28
A-0001-00000232;Campomas S.A.;03-01-2020;Factura;;Teclado;;Ventas A1;30.0000;3330.0000;99900.0000;99900.0000;Pesos Argentinos;;0E-28
B-0001-00000102;Etigand S.A.;27-12-2019;Factura;;Consultoria Web;;Ventas A1;50.0000;5785.1240;289256.2000;289256.2000;Pesos Argentinos;;0E-28
B-0001-00000101;Javier Moroni;21-12-2019;Factura;;Honorarios;;Administración;1.0000;99586.7769;99586.7800;99586.7800;Pesos Argentinos;;0E-28
A-0001-00000231;Amazon Group;10-12-2019;Factura;;Parlantes para PC;;Ventas A1;30.0000;1990.0000;59700.0000;59700.0000;Pesos Argentinos;;0E-28
A-0001-00000230;Amazon Group;06-12-2019;Factura;;Mercaderia de Reventa;;Ventas A2;30.0000;10358.0000;310740.0000;310740.0000;Pesos Argentinos;;0E-28
A-0001-00000001;Juan Fernández;01-12-2019;Factura;;Productos Terminados;;;1.0000;1000.0000;1000.0000;1000.0000;Pesos Argentinos;;0E-28
A-0001-00000229;Manganello S.R.L;20-11-2019;Factura;;Consultoria Digital;;Ventas A1;50.0000;6300.0000;315000.0000;315000.0000;Pesos Argentinos;;0E-28
A-0001-00000228;Galardon S.A.;17-11-2019;Factura;;Impresora Multifuncion ;;Ventas A2;23.0000;10209.0000;234807.0000;234807.0000;Pesos Argentinos;;0E-28
A-0001-00000227;Klarkson;02-11-2019;Factura;;Cable RGB para video;;Ventas A1;60.0000;1030.5000;61830.0000;61830.0000;Pesos Argentinos;;0E-28
A-0001-00000226;Juan Fernández;15-10-2019;Factura;;Mercaderia de Reventa;;Ventas A2;30.0000;12354.0000;370620.0000;370620.0000;Pesos Argentinos;;0E-28
A-0001-00000225;Horizonte S.A.;02-10-2019;Factura;;Insumos oficina;;Ventas A1;30.0000;7785.0000;233550.0000;233550.0000;Pesos Argentinos;;0E-28
A-0001-00000224;Amazon Group;30-09-2019;Factura;;Servicios Profesionales;;;1.0000;6700.0000;6700.0000;6700.0000;Pesos Argentinos;;0E-28
A-0001-00000223;Manganello S.R.L;22-09-2019;Factura;;Televisor Led Samsung 32  Hd Con Soporte Y Control;;;6.0000;40600.0000;243600.0000;243600.0000;Pesos Argentinos;;0E-28
A-0001-00000222;Juan Fernández;15-09-2019;Factura;;Productos Terminados;;;10.0000;8888.5000;88885.0000;88885.0000;Pesos Argentinos;;0E-28
A-0001-00000221;Nicolasen y Asociados S.A.;10-09-2019;Factura;;Servicios Profesionales;;;1.0000;98900.0000;98900.0000;98900.0000;Pesos Argentinos;;0E-28
A-0001-00000220;Hernandez S.A.;02-09-2019;Factura;;Publicidad y Marketing;;;1.0000;105060.0000;105060.0000;105060.0000;Pesos Argentinos;;0E-28
A-0001-00000219;Juan Fernández;20-08-2019;Factura;;Televisor Led Samsung 32  Hd Con Soporte Y Control;;;8.0000;32999.0000;263992.0000;263992.0000;Pesos Argentinos;;0E-28
A-0001-00000218;Campomas S.A.;13-08-2019;Factura;;Televisor Led Samsung 32  Hd Con Soporte Y Control;;;1.0000;40522.0000;40522.0000;40522.0000;Pesos Argentinos;;0E-28
A-0001-00000218;Campomas S.A.;13-08-2019;Factura;;Consultoria Digital;;;1.0000;6300.0000;6300.0000;6300.0000;Pesos Argentinos;;0E-28
B-0001-00000100;Ferrari Hnos S.A.;07-08-2019;Factura;;Productos Terminados;;;50.0000;4132.2314;206611.5700;206611.5700;Pesos Argentinos;;0E-28
A-0001-00000217;Jameson SRL;17-07-2019;Factura;;Televisor Led Samsung 32  Hd Con Soporte Y Control;;;12.0000;27500.0000;330000.0000;330000.0000;Pesos Argentinos;;0E-28
A-0001-00000216;Manganello S.R.L;14-07-2019;Factura;;Monitor LED;;;12.0000;7880.0000;94560.0000;94560.0000;Pesos Argentinos;;0E-28
A-0001-00000215;Campomas S.A.;09-07-2019;Factura;;Productos Terminados;;;15.0000;7850.0000;117750.0000;117750.0000;Pesos Argentinos;;0E-28
B-0001-00000099;Javier Moroni;01-07-2019;Factura;;Consultoria Digital;;;1.0000;6300.0000;6300.0000;6300.0000;Pesos Argentinos;;0E-28
A-0001-00000214;Berker S.R.L;28-06-2019;Factura;;Insumos oficina;;;10.0000;3500.0000;35000.0000;35000.0000;Pesos Argentinos;;0E-28
A-0001-00000213;Ignition S.A.C.I;25-06-2019;Factura;;Teclado;;;10.0000;1000.0000;10000.0000;10000.0000;Pesos Argentinos;;0E-28
A-0001-00000212;Hernandez S.A.;18-06-2019;Factura;;Monitor LED;;;7.0000;22250.0000;155750.0000;155750.0000;Pesos Argentinos;;0E-28
A-0001-00000211;Manganello S.R.L;16-06-2019;Factura;;Consultoría;;;1.0000;80100.0000;80100.0000;80100.0000;Pesos Argentinos;;0E-28
B-0001-00000098;Javier Moroni;11-06-2019;Factura;;Servicios Profesionales;;;1.0000;60633.4842;60633.4800;60633.4800;Pesos Argentinos;;0E-28
A-0001-00000210;Nicolasen y Asociados S.A.;07-06-2019;Factura;;Parlantes para PC;;;15.0000;2250.0000;33750.0000;33750.0000;Pesos Argentinos;;0E-28
B-0001-00000097;Valeria Welponer;03-06-2019;Factura;;Monitor LED;;;3.0000;33471.0744;100413.2200;100413.2200;Pesos Argentinos;;0E-28
A-0001-00000209;Campomas S.A.;20-05-2019;Factura;;Televisor Led Samsung 32  Hd Con Soporte Y Control;;;10.0000;30589.0000;305890.0000;305890.0000;Pesos Argentinos;;0E-28
B-0001-00000096;Ferrari Hnos S.A.;13-05-2019;Factura;;Mouse;;;35.0000;900.0000;31500.0000;31500.0000;Pesos Argentinos;;0E-28
A-0001-00000208;Galardon S.A.;10-05-2019;Factura;;Servicios Profesionales;;;1.0000;73800.0000;73800.0000;73800.0000;Pesos Argentinos;;0E-28
B-0001-00000095;Juan Lopez;10-05-2019;Factura;;Publicidad y Marketing;;;1.0000;16652.8926;16652.8900;16652.8900;Pesos Argentinos;;0E-28
A-0001-00000207;Nicolasen y Asociados S.A.;05-05-2019;Factura;;Consultoria Digital;;;10.0000;6300.0000;63000.0000;63000.0000;Pesos Argentinos;;0E-28
A-0001-00000206;Hernandez S.A.;28-04-2019;Factura;;Productos Terminados;;;10.0000;2085.0000;20850.0000;20850.0000;Pesos Argentinos;;0E-28
A-0001-00000205;Campomas S.A.;27-04-2019;Factura;;Consultoria Web;;;1.0000;40000.0000;40000.0000;40000.0000;Pesos Argentinos;;0E-28
A-0001-00000204;Jameson SRL;22-04-2019;Factura;;Insumos oficina;;;10.0000;2300.0000;23000.0000;23000.0000;Pesos Argentinos;;0E-28
A-0001-00000203;Berker S.R.L;18-04-2019;Factura;;Mercaderia de Reventa;;;30.0000;2700.0000;81000.0000;81000.0000;Pesos Argentinos;;0E-28
A-0001-00000203;Berker S.R.L;18-04-2019;Factura;;Insumos oficina;;;15.0000;1000.0000;15000.0000;15000.0000;Pesos Argentinos;;0E-28
A-0001-00000203;Berker S.R.L;18-04-2019;Factura;;Teclado;;;20.0000;560.0000;11200.0000;11200.0000;Pesos Argentinos;;0E-28
B-0001-00000094;Javier Moroni;15-04-2019;Factura;;Servicios Profesionales;;;1.0000;63800.9050;63800.9100;63800.9100;Pesos Argentinos;;0E-28
A-0001-00000202;Nicolasen y Asociados S.A.;12-04-2019;Factura;;Mercaderia de Reventa;;;25.0000;2059.0000;51475.0000;51475.0000;Pesos Argentinos;;0E-28
B-0001-00000093;Juan Lopez;08-04-2019;Factura;;Insumos oficina;;;7.0000;1074.3802;7520.6600;7520.6600;Pesos Argentinos;;0E-28
A-0001-00000201;Manganello S.R.L;03-04-2019;Factura;;Honorarios;;;1.0000;55000.0000;55000.0000;55000.0000;Pesos Argentinos;;0E-28
A-0001-00000200;Horizonte S.A.;27-03-2019;Factura;;Diseño Web;;;1.0000;60985.0000;60985.0000;60985.0000;Pesos Argentinos;;0E-28
A-0001-00000199;Amazon Group;21-03-2019;Factura;;Servicios Profesionales;;;1.0000;30000.0000;30000.0000;30000.0000;Pesos Argentinos;;0E-28
A-0001-00000198;Campomas S.A.;16-03-2019;Factura;;Consultoria Web;;;20.0000;5890.0000;117800.0000;117800.0000;Pesos Argentinos;;0E-28
A-0001-00000197;Hernandez S.A.;14-03-2019;Factura;;Mercaderia de Reventa;;;20.0000;705.0000;14100.0000;14100.0000;Pesos Argentinos;;0E-28
A-0001-00000196;Klarkson;11-03-2019;Factura;;Insumos oficina;;;38.0000;980.0000;37240.0000;37240.0000;Pesos Argentinos;;0E-28
A-0001-00000195;Nicolasen y Asociados S.A.;09-03-2019;Factura;;Publicidad y Marketing;;;1.0000;7400.0000;7400.0000;7400.0000;Pesos Argentinos;;0E-28
B-0001-00000092;Etigand S.A.;08-03-2019;Factura;;Publicidad y Marketing;;;10.0000;9587.1901;95871.9000;95871.9000;Pesos Argentinos;;0E-28
B-0001-00000091;Javier Moroni;08-03-2019;Factura;;Teclado;;;48.0000;560.0000;26880.0000;26880.0000;Pesos Argentinos;;0E-28
A-0001-00000194;Horizonte S.A.;28-02-2019;Factura;;Honorarios;;;1.0000;150000.0000;150000.0000;150000.0000;Pesos Argentinos;;0E-28
A-0001-00000193;Donadelli S.R.L;27-02-2019;Factura;;Diseño Web;;;1.0000;73210.0000;73210.0000;73210.0000;Pesos Argentinos;;0E-28
A-0001-00000192;Manganello S.R.L;24-02-2019;Factura;;Servicios Profesionales;;;1.0000;105500.0000;105500.0000;105500.0000;Pesos Argentinos;;0E-28
B-0001-00000090;Javier Moroni;23-02-2019;Factura;;Cable RGB para video;;;15.0000;1159.5041;17392.5600;17392.5600;Pesos Argentinos;;0E-28
A-0001-00000191;Hernandez S.A.;14-02-2019;Factura;;Insumos oficina;;;22.0000;205.0000;4510.0000;4510.0000;Pesos Argentinos;;0E-28
A-0001-00000189;Nicolasen y Asociados S.A.;08-02-2019;Factura;;Mercaderia de Reventa;;;30.0000;1800.0000;54000.0000;54000.0000;Pesos Argentinos;;0E-28
A-0001-00000190;Klarkson;08-02-2019;Factura;;Parlantes para PC;;;5.0000;1685.0000;8425.0000;8425.0000;Pesos Argentinos;;0E-28
A-0001-00000188;Jameson SRL;23-01-2019;Factura;;Mercaderia de Reventa;;;20.0000;6997.0000;139940.0000;139940.0000;Pesos Argentinos;;0E-28
A-0001-00000187;Hernandez S.A.;21-01-2019;Factura;;Monitor LED;;;5.0000;13599.0000;67995.0000;67995.0000;Pesos Argentinos;;0E-28
A-0001-00000186;Manganello S.R.L;14-01-2019;Factura;;Servicios Profesionales;;;1.0000;50000.0000;50000.0000;50000.0000;Pesos Argentinos;;0E-28
A-0001-00000185;Jameson SRL;11-01-2019;Factura;;Intereses por Mora;;;1.0000;693.9900;693.9900;693.9900;Pesos Argentinos;;0E-28
A-0001-00000183;Klarkson;03-01-2019;Factura;;Diseño Web;;;1.0000;14950.0000;14950.0000;14950.0000;Pesos Argentinos;;0E-28
